datum,M01AB,M01AE,N02BA,N02BE,N05B,N05C,R03,R06,Year,Month,Hour,Weekday Name,Region,Country,Geo_Risk_2023,Risk_Reduction_%,M01AB_Adjusted,M01AE_Adjusted,N02BA_Adjusted,N02BE_Adjusted,N05B_Adjusted,N05C_Adjusted,R03_Adjusted,R06_Adjusted,Year_Adjusted,Month_Adjusted,Hour_Adjusted,Weekday Name_Adjusted,Supplier,Base_Cost_per_Unit,Environmental_Score,Social_Score,Governance_Score,ESG_Score,ESG_Penalty,Final_Risk_Score
2014-01-02,0.0,55050.0,51000.0,486000.0,105000.0,0.0,0.0,30000.0,30210000.0,15000.0,3720000.0,0.0,North_America,United States,49.41150501370431,0.1,0.0,49545.0,45900.0,437400.0,94500.0,0.0,0.0,27000.0,27189000.0,13500.0,3348000.0,0.0,S3_USA,14,80,78,82,80.0,0.4,29.806903008222584
2014-01-03,120000.0,60000.0,66000.0,759000.0,240000.0,0.0,300000.0,60000.0,30210000.0,15000.0,4140000.0,0.0,North_America,United States,49.41150501370431,0.1,108000.0,54000.0,59400.0,683100.0,216000.0,0.0,270000.0,54000.0,27189000.0,13500.0,3726000.0,0.0,S3_USA,14,80,78,82,80.0,0.4,29.806903008222584
2014-01-04,30000.0,15000.0,97500.0,927750.0,150000.0,0.0,135000.0,15000.0,30210000.0,15000.0,4140000.0,0.0,North_America,United States,49.41150501370431,0.1,27000.0,13500.0,87750.0,834975.0,135000.0,0.0,121500.0,13500.0,27189000.0,13500.0,3726000.0,0.0,S3_USA,14,80,78,82,80.0,0.4,29.806903008222584
2014-01-05,60000.0,45000.0,105000.0,616500.0,120000.0,0.0,45000.0,0.0,30210000.0,15000.0,4140000.0,0.0,North_America,United States,49.41150501370431,0.1,54000.0,40500.0,94500.0,554850.0,108000.0,0.0,40500.0,0.0,27189000.0,13500.0,3726000.0,0.0,S3_USA,14,80,78,82,80.0,0.4,29.806903008222584
2014-01-06,75000.0,15000.0,67500.0,325500.0,240000.0,30000.0,90000.0,30000.0,30210000.0,15000.0,4140000.0,0.0,North_America,United States,49.41150501370431,0.1,67500.0,13500.0,60750.0,292950.0,216000.0,27000.0,81000.0,27000.0,27189000.0,13500.0,3726000.0,0.0,S3_USA,14,80,78,82,80.0,0.4,29.806903008222584
2014-01-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30210000.0,15000.0,4140000.0,0.0,North_America,United States,49.41150501370431,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27189000.0,13500.0,3726000.0,0.0,S3_USA,14,80,78,82,80.0,0.4,29.806903008222584
2014-01-08,79950.0,45000.0,157500.0,396000.0,285000.0,15000.0,150000.0,0.0,30210000.0,15000.0,4140000.0,0.0,North_America,United States,49.41150501370431,0.1,71955.0,40500.0,141750.0,356400.0,256500.0,13500.0,135000.0,0.0,27189000.0,13500.0,3726000.0,0.0,S3_USA,14,80,78,82,80.0,0.4,29.806903008222584
2014-01-09,105000.0,25200.0,120000.0,375000.0,240000.0,0.0,45000.0,30000.0,30210000.0,15000.0,4140000.0,0.0,North_America,United States,49.41150501370431,0.1,94500.0,22680.0,108000.0,337500.0,216000.0,0.0,40500.0,27000.0,27189000.0,13500.0,3726000.0,0.0,S3_USA,14,80,78,82,80.0,0.4,29.806903008222584
2014-01-10,75000.0,30000.0,30000.0,799500.0,225000.0,30000.0,0.0,30000.0,30210000.0,15000.0,4140000.0,0.0,North_America,United States,49.41150501370431,0.1,67500.0,27000.0,27000.0,719550.0,202500.0,27000.0,0.0,27000.0,27189000.0,13500.0,3726000.0,0.0,S3_USA,14,80,78,82,80.0,0.4,29.806903008222584
2014-01-11,75000.0,65100.0,156000.0,784500.0,210000.0,0.0,15000.0,3000.0,30210000.0,15000.0,4140000.0,0.0,North_America,United States,49.41150501370431,0.1,67500.0,58590.0,140400.0,706050.0,189000.0,0.0,13500.0,2700.0,27189000.0,13500.0,3726000.0,0.0,S3_USA,14,80,78,82,80.0,0.4,29.806903008222584
2014-01-12,30000.0,9900.0,37500.0,180000.0,120000.0,0.0,15000.0,15000.0,30210000.0,15000.0,4140000.0,0.0,North_America,United States,49.41150501370431,0.1,27000.0,8910.0,33750.0,162000.0,108000.0,0.0,13500.0,13500.0,27189000.0,13500.0,3726000.0,0.0,S3_USA,14,80,78,82,80.0,0.4,29.806903008222584
2014-01-13,110100.0,114900.0,93000.0,780000.0,135000.0,0.0,105000.0,15000.0,30210000.0,15000.0,4140000.0,0.0,North_America,United States,49.41150501370431,0.1,99090.0,103410.0,83700.0,702000.0,121500.0,0.0,94500.0,13500.0,27189000.0,13500.0,3726000.0,0.0,S3_USA,14,80,78,82,80.0,0.4,29.806903008222584
2014-01-14,90000.0,19950.0,184500.0,505500.00000000006,90000.0,15000.0,0.0,30000.0,30210000.0,15000.0,4140000.0,0.0,North_America,United States,49.41150501370431,0.1,81000.0,17955.0,166050.0,454950.00000000006,81000.0,13500.0,0.0,27000.0,27189000.0,13500.0,3726000.0,0.0,S3_USA,14,80,78,82,80.0,0.4,29.806903008222584
2014-01-15,60000.0,35100.0,75000.0,400500.0,180000.0,30000.0,45000.0,45000.0,30210000.0,15000.0,4140000.0,0.0,North_America,United States,49.41150501370431,0.1,54000.0,31590.0,67500.0,360450.0,162000.0,27000.0,40500.0,40500.0,27189000.0,13500.0,3726000.0,0.0,S3_USA,14,80,78,82,80.0,0.4,29.806903008222584
2014-01-16,90000.0,30000.0,64500.0,424500.0,285000.0,15000.0,75000.0,0.0,30210000.0,15000.0,4140000.0,0.0,North_America,United States,49.41150501370431,0.1,81000.0,27000.0,58050.0,382050.0,256500.0,13500.0,67500.0,0.0,27189000.0,13500.0,3726000.0,0.0,S3_USA,14,80,78,82,80.0,0.4,29.806903008222584
2014-01-17,30000.0,55200.0,124500.0,305999.99999999994,225000.0,0.0,90000.0,45000.0,30210000.0,15000.0,4140000.0,0.0,North_America,United States,49.41150501370431,0.1,27000.0,49680.0,112050.0,275399.99999999994,202500.0,0.0,81000.0,40500.0,27189000.0,13500.0,3726000.0,0.0,S3_USA,14,80,78,82,80.0,0.4,29.806903008222584
2014-01-18,15000.0,79950.0,87000.0,648000.0,225000.0,60000.0,105000.0,30000.0,30210000.0,15000.0,4140000.0,0.0,North_America,United States,49.41150501370431,0.1,13500.0,71955.0,78300.0,583200.0,202500.0,54000.0,94500.0,27000.0,27189000.0,13500.0,3726000.0,0.0,S3_USA,14,80,78,82,80.0,0.4,29.806903008222584
